Name,Mdot,distance,class
S Pav,8.00E-08,190,1
T Mic,8.00E-08,210,1
U Del,1.50E-07,279,2
RW Sco,2.10E-07,514,2
V PsA,3.00E-07,278,2
SV Aqr,3.00E-07,389,2
R Hya,4.00E-07,165,2
U Her,5.90E-07,572,3
pi1 Gru,7.70E-07,197,2
R Aql,1.10E-06,230,3
W Aql,3.00E-06,321,3
GY Aql,4.10E-06,152,3
IRC-10529,4.50E-06,769,3
IRC+10011,1.90E-05,740,3
AFGL3068,4.20E-05,1080,3
R Scl,2.00E-05,370,3
CIT 6,8.00E-06,1070,3
IRC+10216,1.50E-05,150,3
OH 26.5+0.6,3.50E-06,1379,3
OH 30.1-0.7,1.70E-05,3900,3
L2 Pup,5.00E-07,64,2
EP Aqr,1.60E-07,135,2
R Dor,1.00E-07,59,2
R Aqr,2.00E-07,218,1
Mira,1.00E-07,92,1
