type     name       z        T90
 1       140606B    0.384      23.6   
 1       140518A    4.707      60.5   
 1       140515A    6.32       23.4   
 1       140512A    0.725     154.8   
 1       140508A    1.027      44.3   
 1       140506A    0.8893    111.1   
 1       140430A    1.6019    173.6   
 1       140428A    4.7        17.42  
 1       140423A    3.26      134.    
 1       140419A    3.956      94.7   
 1       140318A    1.02        8.43  
 1       140311A    4.954      71.4   
 1       140304A    5.283      15.6   
 1       140301A    1.4155     31.0   
 1       140226A    1.98       15.    
 1       140213A    1.2079     60.0   
 1       140206A    2.739      93.6   
 1       140114A    3.        139.7   
 1       131231A    0.6427     31.    
 1       131227A    5.3        18.0   
 1       131117A    4.042      11.00  
 1       131108A    2.4        19.    
 1       131105A    1.6854    112.3   
 1       131103A    0.5960     17.3   
 1       131030A    1.293      41.1   
 1       131011A    1.874      77.    
 1       131004A    0.717       1.54  
 1       130925A    0.3483   7000.    
 1       130831A    0.4791     32.5   
 1       130702A    0.145      59.    
 1       130701A    1.1548      4.38  
 1       130612A    2.006       4.0   
 1       130610A    2.092      46.4   
 1       130606A    5.913     276.58  
 1       130604A    1.06       37.7   
 1       130528A    1.25       59.4   
 1       130518A    2.49       48.    
 1       130511A    1.3033      5.43  
 1       130505A    2.27       88.    
 1       130427B    2.78       27.0   
 1       130427A    0.3401    162.83  
 1       130420A    1.297     123.5   
 1       130408A    3.757      28.    
 1       130215A    0.597      65.7   
 1       130131B    2.5393      4.30  
 1       121229A    2.707     100.    
 1       121211A    1.023     182.    
 1       121209A    2.1        42.7   
 1       121201A    3.3830     85.    
 1       121128A    2.20       23.3   
 1       121027A    1.7732     62.6   
 1       121024A    2.3012     69.    
 1       120922A    3.1       173.    
 1       120909A    3.93      112.    
 1       120907A    0.970      16.9   
 1       120815A    2.3587      9.7   
 1       120811C    2.671      26.8   
 1       120805A    3.1        48.00  
 1       120802A    3.796      50.    
 1       120729A    0.80       71.5   
 1       120724A    1.48       72.8   
 1       120722A    0.9590     42.4   
 1       120716A    2.486     234.    
 1       120714B    0.3985    159.    
 1       120712A    4.1745     14.7   
 1       120711A    1.405      44.033 
 1       120624B    2.1974    300.    
 1       120422A    0.2826      5.35  
 1       120404A    2.876      38.7   
 1       120327A    2.813      62.9   
 1       120326A    1.798      69.6   
 1       120224A    1.1         8.13  
 1       120211A    2.4        61.7   
 1       120119A    1.7291    253.8   
 1       120118B    2.9428     23.26  
 1       111229A    1.3805     25.4   
 1       111228A    0.7164    101.20  
 1       111225A    2.012     106.8   
 1       111215A    2.06      796.    
 1       111211A    0.4786     25.    
 1       111209A    0.6770  25000.    
 1       111129A    1.0796      7.6   
 1       111123A    3.1513    290.0   
 1       111107A    2.893      26.6   
 1       111008A    4.9898     63.46  
 1       111005A    0.0133     26.    
 1       110918A    0.9843     19.6   
 1       110818A    3.3609    103.    
 1       110808A    1.3490     48.    
 1       110801A    1.858     385.    
 1       110731A    2.83       38.8   
 1       110726A    1.036       5.2   
 1       110715A    0.82       13.0   
 1       110709B    2.09       55.6   
 1       110503A    1.613      10.0   
 1       110422A    1.770      25.9   
 1       110213B    1.083      50.    
 1       110213A    1.46       48.0   
 1       110205A    2.22      257.    
 1       110128A    2.339      30.7   
 1       110106B    0.618      24.8   
 1       101219B    0.5518     34.    
 1       100906A    1.727     114.4   
 1       100901A    1.408     439.    
 1       100814A    1.4392    174.5   
 1       100728B    2.106      12.1   
 1       100728A    1.5670    198.5   
 1       100724A    1.2890      1.4   
 1       100621A    0.5426     63.6   
 1       100615A    1.3978     39.    
 1       100606A    1.5545    480.    
 1       100518A    4.         25.    
 1       100513A    4.772      84.    
 1       100508A    0.5201     52.    
 1       100425A    1.755      37.0   
 1       100424A    2.4656    104.    
 1       100418A    0.6235      7.0   
 1       100414A    1.368      26.497 
 1       100316B    1.180       3.8   
 1       100302A    4.813      17.9   
 1       100219A    4.6667     18.8   
 1       091208B    1.0633     14.80  
 1       091127A    0.4904      7.42  
 1       091109A    3.076      48.03  
 1       091029A    2.752      39.18  
 1       091024A    1.092    1020.    
 1       091020A    1.71       38.92  
