x,y
1.548940585834068795e-01,1.703614405056077086e+00
5.116583029668009264e-01,3.295979727001973281e+00
5.417060467055634376e-01,1.389451393540267032e+00
5.700981989915232528e-01,2.518681639976299014e+00
7.338144807129975966e-01,2.313522627468027615e+00
8.321746118873507569e-01,1.685820488896805580e+00
1.018350999176397265e+00,3.438092982650487794e+00
1.096913207275930224e+00,1.928119434951828248e+00
1.098598012119824663e+00,1.836540982958224877e+00
1.272952997481164861e+00,5.459479225012605852e+00
1.355660810644441217e+00,1.785014554465834014e+00
1.388203944681929425e+00,3.189105191292027186e+00
1.662440512034113471e+00,2.784241675710408703e+00
1.679400163699447113e+00,2.050061839314802903e+00
1.820752938912243435e+00,2.765010580135045526e+00
1.871329333041916732e+00,2.175762629797178604e+00
2.001330892961032948e+00,2.607623247677959277e+00
2.030282162979014871e+00,1.825317156900849058e+00
2.072925495853852329e+00,1.865951967837930825e+00
2.173450867788423224e+00,1.806136592405913399e+00
2.357192525755658075e+00,2.180974821652545526e+00
2.397253828482652782e+00,1.831134273364052989e+00
2.772252363212422743e+00,3.989715529462644739e+00
3.075764911426974724e+00,2.424946211201412183e+00
3.434946419586446531e+00,3.624716613554378242e+00
3.636082416570113551e+00,1.478467364295256825e+00
3.650409093203590416e+00,1.680582247866955869e+00
3.696680925455742006e+00,3.759931837795979614e+00
3.709896510622229471e+00,1.350130893529192688e+00
3.845577470192236280e+00,1.415502214505471867e+00
3.857357122526601234e+00,1.164838666783175158e+00
3.937275941481495956e+00,1.161276147619844989e+00
3.969254259135955643e+00,3.654746087742775096e+00
4.148146140668234061e+00,1.140757506389558529e+00
4.202132733682089061e+00,1.005393532143070257e+00
4.277624261342483969e+00,1.035740251677341517e+00
4.371355131043275222e+00,8.908451112953155171e-01
4.471233590243533840e+00,8.353048418154914723e-01
4.519864014917370554e+00,5.629679729511410935e-01
4.521513450693581682e+00,7.239900878246166016e-01
4.586057219805557139e+00,7.158900837428883168e-01
4.647628742911767752e+00,4.115128753947649987e-01
4.748765323976067876e+00,4.676202898297893151e-01
4.825879418415136790e+00,3.898341726312906985e+01
5.024677009368414105e+00,7.867565944725027904e-01
5.039726801404009748e+00,1.467974321619252565e-01
5.116579497707056667e+00,4.779508600032278398e-01
5.124408084581967060e+00,1.218559863836707335e-02
5.132036541980583344e+00,4.579051001189665682e-02
5.159370837962935497e+00,3.171548336994818307e-01
5.171049064123756978e+00,-1.138454439073094127e-01
5.175734207450836344e+00,-2.011008308820999846e-01
5.450080318632225307e+00,8.689360465783215748e-01
5.574372594624507293e+00,-6.131303790003209686e-01
5.712505372433327011e+00,-8.546051933368620235e-01
5.780162823353663271e+00,-1.013048005094329795e+00
6.047718367625113167e+00,-3.269023257693368656e-01
6.112905851193477957e+00,-1.282480279667640888e+00
6.203821458619297680e+00,-1.708524981252050656e+00
6.247017407244120690e+00,-1.565940456193544827e+00
6.619581870280867086e+00,-2.322019381811137873e+00
6.716486970062041983e+00,-2.162110911129879298e+00
6.966183402412546855e+00,-2.996132265155706520e+00
7.313558842694467543e+00,-3.788850760123720907e+00
7.413311771780359827e+00,-3.959834623242320273e+00
7.495613917851839503e+00,-4.159916931467596335e+00
7.519237545497624353e+00,-1.464674851115167264e+00
7.559941134179509525e+00,-3.702830027098278798e+00
7.850246009755009524e+00,-4.779340909001259519e+00
7.852146964346550462e+00,-5.024808085976152583e+00
7.952680447692671351e+00,-5.114297038532439998e+00
8.003710921374015186e+00,-5.313014154451985327e+00
8.034838987359936624e+00,-5.215853116278058366e+00
8.126285607611094974e+00,-5.507670967823647956e+00
8.287580330090024816e+00,-5.627951475938316683e+00
8.380122271208737317e+00,-5.682944548721792444e+00
8.393376159965711736e+00,-6.363659377470312073e+00
8.501532044128701671e+00,-6.497469464518942139e+00
8.603140849532849188e+00,-6.890142132673795494e+00
8.669107077494267344e+00,-7.089529697588933921e+00
8.755868217832173173e+00,-7.053690738737870447e+00
8.780491703995467745e+00,-7.344290120701891134e+00
8.785198551427875202e+00,-6.708642840498963089e+00
8.831855411814027335e+00,-6.917459649859561743e+00
8.864579520259725953e+00,-7.499731842579443253e+00
8.875338801370491026e+00,-6.999780710371509507e+00
8.908921677502805281e+00,-7.710010863307830142e+00
8.927265402635228497e+00,-7.648611033364748124e+00
8.987906334588910084e+00,-7.354028348354112232e+00
9.050503802676431064e+00,-7.976868137815338322e+00
9.121871758513206530e+00,-8.220366146332873214e+00
9.184610982016613079e+00,-8.379206812989410835e+00
9.189721595417468691e+00,-8.320231530185875357e+00
9.359854581696620102e+00,-6.703861629355551521e+00
9.435340031083450540e+00,-9.237384717622283858e+00
9.626913462519144815e+00,-9.469523578665596020e+00
9.662666484102516051e+00,-8.563349821834485454e+00
9.771035729057080843e+00,-1.002442478903897616e+01
9.965265463129211909e+00,-1.085825383478993444e+01
9.975764111766467934e+00,-1.088316048128605473e+01
