local_hour   number
         0        0
         1        0
         2        0
         3        0
         4        0
         5        0
         6        0
         7        0
         8        8
         9        0
        10        0
        11        5
        12       26
        13        9
        14        4
        15        2
        16        0
        17        0
        18        0
        19        0
        20        0
        21        0
        22        0
        23        0
