cluster    age_min     age_max     sigma1D   sigma1D_err   Pmin    Pmin_errlow Pmin_errhigh
IC1805     1.6         3.5         65.5      3.1           1.4     0.0         0.8
IC1848     3.0         5.0         50.3      12.8          1.4     0.0         3.2
IC2944     2.0         3.0         31.4      0.3           6.3     4.5         17.8
NGC6231    3.5         5.4         67.6      0.4           1.4     0.0         0.7
NGC6611    2.0         6.0         25.3      1.6           10.1    8.5         43.0
Wd2        1.0         2.0         15.0      0.1           62.2    36.1        74.9
M17        0.0         2.0         5.5       0.5           3500    2834        36.1
M8         1.0         3.0         32.7      2.6           2.4     1.0         3.8
NGC6357    0.5         3.0         26.9      1.3           5.4     3.4         8.5
R136       1.0         2.0         25.0      5.9           24.1    5.1         9.0

