mjd,vrad,vrad_err
55915.070159,-348.25,7.17
55915.080011,-345.54,7.55
55915.099359,-12.36,9.71
55915.109036,159.76,9.54
55915.120877,332.63,8.37
55915.130692,295.18,8.08
55915.140364,149.72,8.77
55915.150194,-45.85,8.76
55915.217387,311.34,11.94
55915.227349,360.61,11.87
55915.237602,278.11,11.03
55915.247859,86.48,13.56
55915.261379,-143.98,13.42
55915.271051,-297.87,14.87
55915.280729,-272.12,18.87
55915.290404,-188.66,33.02
55916.060700,197.14,15.88
55916.070535,-10.28,21.58
55916.080364,-209.03,20.37
55916.091598,-339.79,20.05
55916.101421,-354.42,15.82
55916.111221,-255.63,13.45
55916.122672,-15.94,18.30
55916.132782,153.76,19.31
55916.142895,332.62,18.44
55916.154536,285.43,20.94
55916.164373,165.98,18.92
55916.174210,-54.07,20.13
55916.229170,89.37,15.28
55916.238967,300.61,17.14
55916.250488,350.95,18.00
55916.260274,331.23,22.73
55916.270071,89.53,33.20
55916.279869,-110.32,50.99
