source,activity,activity_err,energy,energy_err,intensity,intensity_err,counts,counts_err,time
133Ba,11117.44,0345.62,276.3989,0.0012,0.0716,0.0005,4953,88,895
133Ba,11117.44,0345.62,302.8508,0.0005,0.1834,0.0013,12230,120,895
133Ba,11117.44,0345.62,356.0129,0.0007,0.6205,0.0019,37887,201,895
133Ba,11117.44,0345.62,383.8485,0.0012,0.0894,0.0006,5146,77,895
137Cs,24257.28,0738.512,661.657,0.003,0.8499,0.0002,79594,283,895
152Eu,71690,1133.45,121.7817,0.0003,0.2841,0.0013,143169,415,893
152Eu,71690,1133.45,244.6974,0.0004,0.0755,0.0004,34517,214,893
152Eu,71690,1133.45,344.2785,0.0012,0.2659,0.0012,104186,342,893
152Eu,71690,1133.45,411.1165,0.0012,0.0224,0.00010,7784,113,893
152Eu,71690,1133.45,778.9045,0.0024,0.1297,0.0006,31734,189,893
152Eu,71690,1133.45,867.380,0.003,0.0424,0.00023,9557,124,893
152Eu,71690,1133.45,1112.076,0.003,0.1341,0.0006,27477,174,893
152Eu,71690,1133.45,1212.948,0.011,0.0142,0.00009,2719,67,893
152Eu,71690,1133.45,1299.142,0.008,0.0163,0.00009,2982,61,893
152Eu,71690,1133.45,1408.013,0.003,0.2085,0.0008,36332,194,893
56Co,6214.8,0621.48,846.7638,0.0019,0.999399,0.000023,39497,204,1790
56Co,6214.8,0621.48,1037.8333,0.0024,0.14030,0.00050,4899,80,1790
56Co,6214.8,0621.48,1238.2736,0.0022,0.66410,0.00160,21093,149,1790
56Co,6214.8,0621.48,1360.196,0.004,0.04280,0.00013,1268,42,1790
56Co,6214.8,0621.48,1771.327,0.003,0.1545,0.0004,3930,66,1790
56Co,6214.8,0621.48,2015.176,0.005,0.03017,0.00014,696,30,1790
56Co,6214.8,0621.48,2034.752,0.005,0.07741,0.00013,1810,46,1790
56Co,6214.8,0621.48,2598.438,0.004,0.1696,0.0004,3368,59,1790
56Co,6214.8,0621.48,3201.930,0.011,0.03203,0.00013,507,24,1790
56Co,6214.8,0621.48,3253.402,0.005,0.0787,0.0003,1262,36,1790
56Co,6214.8,0621.48,3272.978,0.006,0.01855,0.00009,287,19,1790
