series,gravity
1,9.80076
1,9.80082
1,9.80083
1,9.80054
1,9.80035
1,9.80046
1,9.80087
1,9.80068
2,9.80087
2,9.80095
2,9.80098
2,9.80100
2,9.80109
2,9.80109
2,9.80100
2,9.80081
2,9.80075
2,9.80068
2,9.80067
3,9.80105
3,9.80083
3,9.80076
3,9.80075
3,9.80051
3,9.80076
3,9.80093
3,9.80075
3,9.80062
4,9.80095
4,9.80090
4,9.80076
4,9.80076
4,9.80087
4,9.80079
4,9.80077
4,9.80071
5,9.80076
5,9.80076
5,9.80078
5,9.80079
5,9.80072
5,9.80068
5,9.80075
5,9.80078
6,9.80078
6,9.80078
6,9.80078
6,9.80086
6,9.80087
6,9.80081
6,9.80073
6,9.80067
6,9.80075
6,9.80082
6,9.80083
7,9.80082
7,9.80079
7,9.80081
7,9.80079
7,9.80077
7,9.80079
7,9.80079
7,9.80078
7,9.80079
7,9.80082
7,9.80076
7,9.80073
7,9.80064
8,9.80084
8,9.80086
8,9.80085
8,9.80082
8,9.80077
8,9.80076
8,9.80077
8,9.80080
8,9.80083
8,9.80081
8,9.80078
8,9.80078
8,9.80078
