q R_Rl
1E-10 0.000228936
1.26E-10 0.000247302
1.59E-10 0.000267104
2E-10 0.00028855
2.52E-10 0.000311681
3.18E-10 0.000336689
4.01E-10 0.000363644
5.05E-10 0.000392814
6.37E-10 0.000424293
8.03E-10 0.000458325
1.01E-09 0.000495069
1.28E-09 0.000534784
1.61E-09 0.000577621
2.03E-09 0.00062396
2.55E-09 0.000673977
3.22E-09 0.000728035
4.06E-09 0.000786318
5.11E-09 0.000849362
6.44E-09 0.000917425
8.12E-09 0.000991034
1.02E-08 0.001070484
1.29E-08 0.001156207
1.63E-08 0.001248906
2.05E-08 0.001348986
2.58E-08 0.00145709
3.26E-08 0.001573779
4.1E-08 0.001699939
5.17E-08 0.001836199
6.52E-08 0.00198307
8.21E-08 0.002142112
1.04E-07 0.002313519
1.3E-07 0.002498913
1.64E-07 0.002699046
2.07E-07 0.002915511
2.61E-07 0.003148802
3.29E-07 0.003400267
4.15E-07 0.003672632
5.23E-07 0.003966816
6.59E-07 0.004284324
8.31E-07 0.00462711
1.05E-06 0.004997381
1.32E-06 0.005397089
1.66E-06 0.005828697
2.1E-06 0.00629392
2.64E-06 0.006797803
3.33E-06 0.007341066
4.2E-06 0.007927205
5.29E-06 0.008559695
6.67E-06 0.009244302
8.41E-06 0.009981326
1.06E-05 0.010778566
1.34E-05 0.011638525
1.68E-05 0.01256428
2.12E-05 0.013565998
2.67E-05 0.014646745
3.37E-05 0.015812258
4.25E-05 0.017069533
5.35E-05 0.018427059
6.75E-05 0.019889837
8.5E-05 0.021471001
0.000107189 0.023173195
0.000135099 0.02500856
0.000170277 0.026993268
0.000214614 0.029129829
0.000270496 0.031429864
0.000340929 0.033911204
0.0004297 0.036585319
0.000541587 0.039463494
0.000682607 0.042566048
0.000860346 0.045910295
0.001084366 0.049509249
0.001366716 0.053376944
0.001722586 0.057551939
0.002171118 0.062027897
0.00273644 0.06685377
0.003448962 0.072037865
0.004347013 0.077592364
0.005478901 0.083582867
0.006905514 0.089992691
0.008703591 0.096873044
0.010969858 0.104241923
0.013826222 0.112146784
0.017426334 0.120626938
0.021963854 0.129652399
0.027682866 0.139317399
0.034891012 0.149633781
0.043976036 0.160595091
0.055426645 0.17227971
0.069858797 0.184692786
0.088048836 0.197833252
0.11097525 0.211767808
0.13987131 0.226457478
0.176291412 0.241889137
0.222194686 0.25813268
0.280050389 0.275082744
0.35297073 0.292766676
0.444878283 0.311096541
0.560716994 0.330126665
0.706718127 0.34964122
0.890735464 0.36972134
1.122667774 0.390047429
1.414991297 0.410808411
1.783430877 0.431575281
2.247805834 0.452521937
2.833096102 0.473315049
3.570785965 0.49388462
4.500557676 0.514253102
5.672426068 0.534091178
7.149428987 0.553471524
9.011018252 0.572148411
11.35733358 0.590117546
14.31458938 0.607374849
18.04186409 0.623754923
22.73965752 0.63926909
28.66067617 0.653969316
36.123427 0.667801607
45.52935075 0.680680528
57.38441648 0.692742188
72.32633896 0.703963836
91.158883 0.714288046
114.8951 0.723807695
144.8118228 0.732594774
182.5183494 0.740707242
230.043012 0.748065913
289.9422854 0.754759062
365.4383071 0.761019855
460.5922041 0.76650941
580.5225516 0.771566068
731.6807143 0.776153729
922.1978823 0.780322715
1162.322469 0.784035459
1464.971398 0.787372775
1846.424943 0.790423752
2327.202479 0.79317081
2933.166278 0.795584953
3696.912707 0.797770299
4659.525669 0.799734033
5872.786613 0.801470882
7401.959997 0.80297311
9329.304026 0.804352572
11758.49554 0.805607247
14820.20706 0.806657423
18679.13599 0.807677393
23542.86414 0.808507084
29673.02408 0.809262131
37399.37302 0.80994442
47137.53134 0.810549662
59411.33985 0.811091876
74881.03858 0.811524446
94378.78278 0.811879134
118953.4067 0.812344697
149926.8433 0.812604546
188965.234 0.812869568
238168.5552 0.813168781
300183.5814 0.813274309
378346.2617 0.813535913
476861.1698 0.813779452
601027.6782 0.813839931
757525.0259 0.813948646
954771.6114 0.814169057
1203377.841 0.814239427
1516716.888 0.814336349
1911644.075 0.814379302
2409403.56 0.81441799
3036771.118 0.814481901
3827494.479 0.81449265
4824108.704 0.814619275
6080224.262 0.814598885
7663410.868 0.814641348
9658832.241 0.814656557
12173827.28 0.814746348
15343684.09 0.814779112
19338917.5 0.814744205
24374441.5 0.814761797
30721129.99 0.814818653
38720387.82 0.814823113
48802515.84 0.814882219
61509857.89 0.814808465
77525974.89 0.814844477
97712415.35 0.814829547
123155060.3 0.814754128
155222535.7 0.814805699
195639834.4 0.814842228
246581107.6 0.814846892
310786618.8 0.814904517
391710149.1 0.814860366
493704785.3 0.8148106
622257083.7 0.814851644
784282206.1 0.814790275
988495904.7 0.814838784
1245883364 0.814874388
1570290125 0.814865047
1979166868 0.81490935
2494508135 0.814889065
3144035472 0.814785437
3962688639 0.814845965
4994505116 0.81489847
6294988990 0.814957047
7934096666 0.814910756
10000000000 0.814882412
