year,nspots
1700.5,8
1701.5,18
1702.5,27
1703.5,38
1704.5,60
1705.5,97
1706.5,48
1707.5,33
1708.5,17
1709.5,13
1710.5,5
1711.5,0
1712.5,0
1713.5,3
1714.5,18
1715.5,45
1716.5,78
1717.5,105
1718.5,100
1719.5,65
1720.5,47
1721.5,43
1722.5,37
1723.5,18
1724.5,35
1725.5,67
1726.5,130
1727.5,203
1728.5,172
1729.5,122
1730.5,78
1731.5,58
1732.5,18
1733.5,8
1734.5,27
1735.5,57
1736.5,117
1737.5,135
1738.5,185
1739.5,168
1740.5,122
1741.5,67
1742.5,33
1743.5,27
1744.5,8
1745.5,18
1746.5,37
1747.5,67
1748.5,100
1749.5,135
1750.5,139
1751.5,80
1752.5,80
1753.5,51
1754.5,20
1755.5,16
1756.5,17
1757.5,54
1758.5,79
1759.5,90
1760.5,105
1761.5,143
1762.5,102
1763.5,75
1764.5,61
1765.5,35
1766.5,19
1767.5,63
1768.5,116
1769.5,177
1770.5,168
1771.5,136
1772.5,111
1773.5,58
1774.5,51
1775.5,12
1776.5,33
1777.5,154
1778.5,257
1779.5,210
1780.5,141
1781.5,114
1782.5,64
1783.5,38
1784.5,17
1785.5,40
1786.5,138
1787.5,220
1788.5,218
1789.5,197
1790.5,150
1791.5,111
1792.5,100
1793.5,78
1794.5,68
1795.5,36
1796.5,27
1797.5,11
1798.5,7
1799.5,11
1800.5,24
1801.5,57
1802.5,75
1803.5,72
1804.5,79
1805.5,70
1806.5,47
1807.5,17
1808.5,14
1809.5,4
1810.5,0
1811.5,2
1812.5,8
1813.5,20
1814.5,23
1815.5,59
1816.5,76
1817.5,68
1818.5,53
1819.5,38
1820.5,24
1821.5,9
1822.5,6
1823.5,2
1824.5,11
1825.5,28
1826.5,60
1827.5,83
1828.5,108
1829.5,115
1830.5,117
1831.5,81
1832.5,44
1833.5,13
1834.5,20
1835.5,86
1836.5,193
1837.5,227
1838.5,169
1839.5,143
1840.5,106
1841.5,63
1842.5,40
1843.5,18
1844.5,25
1845.5,66
1846.5,103
1847.5,166
1848.5,208
1849.5,182
1850.5,126
1851.5,122
1852.5,103
1853.5,74
1854.5,39
1855.5,13
1856.5,8
1857.5,43
1858.5,104
1859.5,178
1860.5,182
1861.5,147
1862.5,112
1863.5,84
1864.5,89
1865.5,58
1866.5,31
1867.5,14
1868.5,63
1869.5,124
1870.5,232
1871.5,185
1872.5,169
1873.5,110
1874.5,74
1875.5,28
1876.5,19
1877.5,21
1878.5,6
1879.5,10
1880.5,54
1881.5,90
1882.5,99
1883.5,106
1884.5,106
1885.5,86
1886.5,42
1887.5,22
1888.5,11
1889.5,10
1890.5,12
1891.5,60
1892.5,122
1893.5,142
1894.5,130
1895.5,107
1896.5,69
1897.5,44
1898.5,44
1899.5,20
1900.5,16
1901.5,5
1902.5,8
1903.5,41
1904.5,70
1905.5,106
1906.5,90
1907.5,103
1908.5,81
1909.5,73
1910.5,31
1911.5,10
1912.5,6
1913.5,2
1914.5,16
1915.5,79
1916.5,95
1917.5,174
1918.5,135
1919.5,106
1920.5,63
1921.5,44
1922.5,24
1923.5,10
1924.5,28
1925.5,74
1926.5,106
1927.5,115
1928.5,130
1929.5,108
1930.5,59
1931.5,35
1932.5,19
1933.5,9
1934.5,15
1935.5,60
1936.5,133
1937.5,191
1938.5,183
1939.5,148
1940.5,113
1941.5,79
1942.5,51
1943.5,27
1944.5,16
1945.5,55
1946.5,154
1947.5,215
1948.5,193
1949.5,191
1950.5,119
1951.5,98
1952.5,45
1953.5,20
1954.5,7
1955.5,54
1956.5,201
1957.5,269
1958.5,262
1959.5,225
1960.5,159
1961.5,76
1962.5,53
1963.5,40
1964.5,15
1965.5,22
1966.5,67
1967.5,133
1968.5,150
1969.5,149
1970.5,148
1971.5,94
1972.5,98
1973.5,54
1974.5,49
1975.5,22
1976.5,18
1977.5,39
1978.5,131
1979.5,220
1980.5,219
1981.5,199
1982.5,162
1983.5,91
1984.5,60
1985.5,21
1986.5,15
1987.5,34
1988.5,123
1989.5,211
1990.5,192
1991.5,203
1992.5,133
1993.5,76
1994.5,45
1995.5,25
1996.5,12
1997.5,29
1998.5,88
1999.5,136
2000.5,174
2001.5,170
2002.5,164
2003.5,99
2004.5,65
2005.5,46
2006.5,25
2007.5,13
2008.5,4
2009.5,5
2010.5,25
2011.5,81
2012.5,84
2013.5,94
2014.5,113
2015.5,70
