date,roll,color,number
20180101,1,R,5
20180101,2,B,28
20180101,3,B,2
20180101,4,R,34
20180101,5,R,14
20180101,6,G,0
20180101,7,R,5
20180101,8,B,26
20180101,9,B,20
20180101,10,R,7
20180101,11,R,36
20180101,12,B,11
20180101,13,B,29
20180101,14,R,14
20180101,15,B,8
20180101,16,B,2
20180101,17,B,6
20180101,18,R,30
20180101,19,B,15
20180101,20,R,1
20180101,21,G,0
20180101,22,R,7
20180101,23,B,33
20180101,24,R,7
20180101,25,R,32
20180101,26,R,12
20180101,27,G,0
20180101,28,R,18
20180101,29,R,7
20180101,30,R,5
20180101,31,R,19
20180101,32,R,9
20180101,33,R,27
20180101,34,B,24
20180101,35,R,27
20180101,36,B,17
20180101,37,R,9
20180101,38,R,12
20180101,39,B,17
20180101,40,B,17
20180101,41,R,19
20180101,42,R,12
20180101,43,B,11
20180101,44,B,22
20180101,45,B,15
20180101,46,R,16
20180101,47,R,19
20180101,48,B,13
20180101,49,R,16
20180101,50,R,9
20180101,51,B,10
20180101,52,R,25
20180101,53,R,14
20180101,54,R,19
20180101,55,R,36
20180101,56,B,13
20180101,57,B,20
20180101,58,B,8
20180101,59,R,18
20180101,60,B,26
20180101,61,R,14
20180101,62,R,7
20180101,63,R,23
20180101,64,B,17
20180101,65,B,24
20180101,66,R,7
20180101,67,B,2
20180101,68,R,25
20180101,69,R,19
20180101,70,R,5
20180101,71,R,9
20180101,72,R,9
20180101,73,R,34
20180101,74,B,29
20180101,75,B,33
20180101,76,R,30
20180101,77,R,1
20180101,78,R,23
20180101,79,R,32
20180101,80,B,11
20180101,81,B,26
20180101,82,R,14
20180101,83,R,30
20180101,84,R,36
20180101,85,B,11
20180101,86,R,32
20180101,87,R,1
20180101,88,B,15
20180101,89,R,30
20180101,90,R,18
20180101,91,B,35
20180101,92,R,25
20180101,93,B,28
20180101,94,B,2
20180101,95,R,27
20180101,96,B,15
20180101,97,R,1
20180101,98,B,31
20180101,99,R,32
20180101,100,R,36
20180101,101,R,7
20180101,102,B,24
20180101,103,B,28
20180101,104,B,20
20180101,105,R,3
20180101,106,B,28
20180101,107,R,12
20180101,108,R,34
20180101,109,R,7
20180101,110,R,7
20180101,111,B,31
20180101,112,R,32
20180101,113,B,2
20180101,114,R,1
20180101,115,R,5
20180101,116,R,16
20180101,117,B,33
20180101,118,B,6
20180101,119,B,29
20180101,120,R,30
20180101,121,R,27
20180101,122,R,34
20180101,123,B,28
20180101,124,B,31
20180101,125,B,29
20180101,126,B,13
20180101,127,B,6
20180101,128,R,25
20180101,129,B,2
20180101,130,B,8
20180101,131,R,18
20180101,132,R,7
20180101,133,B,29
20180101,134,R,3
20180101,135,R,34
20180101,136,B,35
20180101,137,R,16
20180101,138,R,3
20180101,139,B,20
20180101,140,B,15
20180101,141,R,21
